18_ZOrigem,18_TrabInd,18_TrabCom,18_TrabSer,18_Educ,18_Compras,18_Saude,18_Lazer,18_ProcEmp,18_AssPess,18_Refeic,18_Total
272,1460,2857,19159,10944,2567,647,1987,0,1178,481,41280
273,14113,7545,31826,43971,3787,4342,6698,1203,4232,723,118441
274,3937,6445,42594,34456,7811,6617,12726,1308,15473,4557,135926
275,7804,4200,37161,27947,3322,2923,12022,30,14685,3086,113179
276,11964,4745,46136,72945,8184,5563,5956,849,3502,98,159942
277,6653,9006,32210,49423,8022,1661,2754,395,13819,220,124162
278,12836,14342,50258,90583,12656,5132,10258,1121,12242,250,209678
279,3753,11422,26751,39702,2750,5433,7163,1485,3562,0,102021
280,8579,5782,27067,24667,4297,1860,1341,993,2696,1211,78495
281,2945,7601,24134,24535,6351,4143,5063,790,7376,2081,85019
282,5311,9439,25084,19043,14011,5489,3071,0,4382,1059,86888
283,1391,1546,7875,4575,184,1443,1210,317,582,79,19202
284,4297,13560,20898,35833,1419,681,2215,384,2635,51,81974
285,15396,18154,39121,62768,10339,8709,7514,467,7147,0,169615
286,8001,7468,9477,12294,7576,842,2089,0,2574,542,50861
287,6406,6748,16578,16386,8292,1811,6931,0,6149,1442,70743
288,783,1412,13070,27267,588,2205,1783,0,2284,444,49835
289,4575,4598,30187,34675,5199,2685,2073,0,8060,2763,94814
290,4324,4688,29049,37019,1912,3970,6005,543,2375,0,89885
291,8688,8707,34109,51375,10342,1152,15044,0,3455,326,133199
